,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,season,off_score,def_score
59,1610612738,Boston Celtics,50,19,31,0.38,2430.0,0.469,0.259,0.171,0.33,0.465,0.387,0.179,0.334,1,22,22,22,5,14,29,16,12,13,28,6,23,1998-99,0.3352,0.3556
60,1610612766,Charlotte Hornets,50,26,24,0.52,2430.0,0.485,0.372,0.172,0.266,0.461,0.326,0.165,0.322,1,16,16,16,5,6,6,18,29,10,12,18,10,1998-99,0.34600000000000003,0.33895000000000003
61,1610612741,Chicago Bulls,50,13,37,0.26,2414.0,0.424,0.309,0.173,0.299,0.483,0.329,0.174,0.316,1,27,27,27,18,29,19,19,26,24,14,9,6,1998-99,0.319,0.34925000000000006
62,1610612739,Cleveland Cavaliers,50,22,28,0.44,2410.0,0.464,0.381,0.178,0.295,0.468,0.359,0.186,0.344,1,20,20,20,19,16,4,22,28,17,21,4,25,1998-99,0.34625,0.35635
63,1610612742,Dallas Mavericks,50,19,31,0.38,2415.0,0.459,0.3,0.151,0.321,0.476,0.296,0.153,0.327,1,22,22,22,16,19,26,4,18,22,7,26,15,1998-99,0.33055,0.33845000000000003
64,1610612743,Denver Nuggets,50,14,36,0.28,2405.0,0.459,0.332,0.16,0.319,0.499,0.333,0.152,0.34,1,26,26,26,27,18,14,6,19,28,15,27,24,1998-99,0.33720000000000006,0.35555
65,1610612765,Detroit Pistons,50,29,21,0.58,2410.0,0.48,0.345,0.179,0.331,0.468,0.362,0.174,0.303,1,10,10,10,26,10,10,24,11,16,22,8,2,1998-99,0.35470000000000007,0.3456
66,1610612744,Golden State Warriors,50,21,29,0.42,2425.0,0.434,0.282,0.167,0.367,0.445,0.398,0.16,0.31,1,21,21,21,8,27,27,11,1,7,29,21,3,1998-99,0.33105,0.3397
67,1610612745,Houston Rockets,50,31,19,0.62,2415.0,0.506,0.313,0.178,0.312,0.461,0.257,0.143,0.322,1,7,7,7,13,1,18,23,21,11,3,29,11,1998-99,0.35625,0.32310000000000005
68,1610612754,Indiana Pacers,50,33,17,0.66,2420.0,0.486,0.318,0.146,0.31,0.46,0.312,0.147,0.329,1,4,4,4,10,5,16,2,22,9,10,28,22,1998-99,0.34060000000000007,0.33335000000000004
69,1610612746,Los Angeles Clippers,50,9,41,0.18,2425.0,0.454,0.306,0.173,0.332,0.503,0.375,0.17,0.354,1,28,28,28,8,21,20,20,10,29,25,14,28,1998-99,0.33715,0.37075
70,1610612747,Los Angeles Lakers,50,31,19,0.62,2410.0,0.498,0.382,0.162,0.323,0.468,0.376,0.153,0.329,1,7,7,7,19,2,3,9,17,15,26,25,21,1998-99,0.36160000000000003,0.34765000000000007
71,1610612748,Miami Heat,50,33,17,0.66,2405.0,0.494,0.354,0.172,0.299,0.439,0.307,0.156,0.317,1,4,4,4,27,3,9,17,27,4,8,23,7,1998-99,0.3535,0.32405
72,1610612749,Milwaukee Bucks,50,28,22,0.56,2410.0,0.489,0.303,0.161,0.312,0.463,0.365,0.187,0.352,1,11,11,11,19,4,22,8,20,12,23,3,27,1998-99,0.3437,0.3571000000000001
73,1610612750,Minnesota Timberwolves,50,25,25,0.5,2405.0,0.439,0.264,0.138,0.348,0.467,0.385,0.18,0.327,1,17,17,17,27,25,28,1,6,14,27,5,18,1998-99,0.31930000000000003,0.35495
74,1610612751,New Jersey Nets,50,16,34,0.32,2410.0,0.434,0.301,0.159,0.328,0.481,0.327,0.173,0.318,1,25,25,25,19,28,24,5,15,23,13,11,8,1998-99,0.32410000000000005,0.3483
75,1610612752,New York Knicks,50,27,23,0.54,2420.0,0.463,0.329,0.181,0.303,0.434,0.352,0.172,0.329,1,13,13,13,10,17,15,26,25,2,18,12,20,1998-99,0.34040000000000004,0.33520000000000005
76,1610612753,Orlando Magic,50,33,17,0.66,2410.0,0.456,0.318,0.181,0.36,0.473,0.256,0.191,0.315,1,4,4,4,19,20,17,27,2,20,2,2,5,1998-99,0.34735000000000005,0.33835
77,1610612755,Philadelphia 76ers,50,28,22,0.56,2430.0,0.439,0.383,0.179,0.356,0.454,0.34,0.195,0.321,1,11,11,11,5,24,2,25,4,8,17,1,9,1998-99,0.349,0.34554999999999997
78,1610612756,Phoenix Suns,50,27,23,0.54,2410.0,0.481,0.303,0.148,0.306,0.485,0.311,0.177,0.329,1,13,13,13,19,8,21,3,24,25,9,7,19,1998-99,0.33605,0.3507
79,1610612757,Portland Trail Blazers,50,35,15,0.7,2435.0,0.473,0.341,0.167,0.345,0.445,0.321,0.171,0.313,1,3,3,3,4,13,11,12,7,6,11,13,4,1998-99,0.35109999999999997,0.3315
80,1610612758,Sacramento Kings,50,27,23,0.54,2440.0,0.479,0.3,0.17,0.328,0.471,0.247,0.16,0.346,1,13,13,13,1,12,25,15,16,18,1,22,26,1998-99,0.3447,0.33465
81,1610612759,San Antonio Spurs,50,37,13,0.74,2415.0,0.479,0.371,0.168,0.329,0.423,0.283,0.161,0.326,1,1,1,1,13,11,7,13,14,1,5,20,14,1998-99,0.35505,0.31710000000000005
82,1610612760,Seattle SuperSonics,50,25,25,0.5,2420.0,0.481,0.341,0.167,0.344,0.489,0.295,0.162,0.327,1,17,17,17,10,9,12,10,8,26,6,19,16,1998-99,0.3541000000000001,0.34575
83,1610612761,Toronto Raptors,50,23,27,0.46,2415.0,0.45,0.338,0.175,0.359,0.473,0.355,0.17,0.325,1,19,19,19,13,22,13,21,3,19,19,16,13,1998-99,0.34625,0.34995000000000004
84,1610612762,Utah Jazz,50,37,13,0.74,2435.0,0.485,0.417,0.182,0.329,0.441,0.336,0.166,0.323,1,1,1,1,2,7,1,28,13,5,16,17,12,1998-99,0.36785,0.33290000000000003
85,1610612763,Vancouver Grizzlies,50,8,42,0.16,2435.0,0.447,0.367,0.185,0.342,0.492,0.357,0.17,0.355,1,29,29,29,2,23,8,29,9,27,20,15,29,1998-99,0.34850000000000003,0.36385
86,1610612764,Washington Wizards,50,18,32,0.36,2410.0,0.468,0.302,0.161,0.308,0.474,0.371,0.173,0.327,1,24,24,24,19,15,23,7,23,21,24,10,17,1998-99,0.33435000000000004,0.3539
87,1610612737,Atlanta Hawks,82,28,54,0.341,3966.0,0.46,0.292,0.164,0.334,0.481,0.254,0.13,0.302,1,25,25,25,7,25,20,19,5,18,1,29,6,1999-00,0.33560000000000006,0.3234
88,1610612738,Boston Celtics,82,35,47,0.427,3946.0,0.474,0.316,0.159,0.327,0.498,0.407,0.177,0.295,1,19,19,19,26,19,11,10,9,25,29,4,2,1999-00,0.34215,0.3635
89,1610612766,Charlotte Hornets,82,49,33,0.598,3956.0,0.475,0.376,0.153,0.283,0.478,0.265,0.165,0.288,1,10,10,10,19,18,2,8,26,13,7,14,1,1999-00,0.34125,0.32980000000000004
90,1610612741,Chicago Bulls,82,17,65,0.207,3961.0,0.443,0.338,0.208,0.331,0.484,0.324,0.166,0.324,1,28,28,28,17,29,5,29,6,20,19,13,22,1999-00,0.3461,0.3485
91,1610612739,Cleveland Cavaliers,82,32,50,0.39,3971.0,0.468,0.327,0.177,0.308,0.474,0.354,0.172,0.315,1,22,22,22,6,23,8,25,20,10,27,8,17,1999-00,0.3421,0.34869999999999995
92,1610612742,Dallas Mavericks,82,40,42,0.488,3946.0,0.49,0.248,0.142,0.281,0.488,0.284,0.166,0.353,1,18,18,18,28,8,29,1,27,21,8,12,29,1999-00,0.3249,0.3499
93,1610612743,Denver Nuggets,82,35,47,0.427,3971.0,0.476,0.306,0.161,0.321,0.479,0.313,0.149,0.312,1,19,19,19,5,16,14,14,14,14,17,26,14,1999-00,0.34075000000000005,0.3382
94,1610612765,Detroit Pistons,82,42,40,0.512,3966.0,0.492,0.378,0.16,0.295,0.499,0.334,0.174,0.306,1,15,15,15,7,6,1,12,24,27,22,6,10,1999-00,0.35250000000000004,0.3544
95,1610612744,Golden State Warriors,82,19,63,0.232,3951.0,0.444,0.301,0.163,0.346,0.499,0.344,0.167,0.327,1,27,27,27,22,28,17,17,1,26,26,10,25,1999-00,0.3327,0.35835
96,1610612745,Houston Rockets,82,34,48,0.415,3966.0,0.494,0.322,0.181,0.321,0.481,0.259,0.143,0.309,1,21,21,21,7,4,9,27,15,17,3,28,12,1999-00,0.35535000000000005,0.32880000000000004
97,1610612754,Indiana Pacers,82,56,26,0.683,3946.0,0.503,0.302,0.149,0.276,0.469,0.261,0.144,0.309,1,3,3,3,27,1,16,7,29,8,5,27,13,1999-00,0.33895000000000003,0.32455
98,1610612746,Los Angeles Clippers,82,15,67,0.183,3940.0,0.458,0.27,0.169,0.286,0.507,0.297,0.149,0.326,1,29,29,29,29,26,27,22,25,29,9,25,23,1999-00,0.32315000000000005,0.3498
99,1610612747,Los Angeles Lakers,82,67,15,0.817,3961.0,0.484,0.347,0.146,0.324,0.443,0.3,0.152,0.295,1,1,1,1,14,14,3,3,12,1,11,24,3,1999-00,0.34695,0.3192
100,1610612748,Miami Heat,82,52,30,0.634,3966.0,0.495,0.283,0.163,0.304,0.453,0.307,0.153,0.304,1,7,7,7,7,3,24,18,21,3,16,23,8,1999-00,0.342,0.32630000000000003
101,1610612749,Milwaukee Bucks,82,42,40,0.512,3971.0,0.494,0.29,0.158,0.327,0.496,0.337,0.167,0.333,1,15,15,15,2,5,21,9,10,24,24,11,27,1999-00,0.346,0.3573
102,1610612750,Minnesota Timberwolves,82,50,32,0.61,3981.0,0.485,0.256,0.147,0.318,0.474,0.332,0.159,0.304,1,8,8,8,1,13,28,5,16,9,21,18,9,1999-00,0.33275,0.33995000000000003
103,1610612751,New Jersey Nets,82,31,51,0.378,3966.0,0.468,0.297,0.143,0.298,0.491,0.298,0.175,0.343,1,23,23,23,7,22,19,2,23,23,10,5,28,1999-00,0.3271,0.35345000000000004
104,1610612752,New York Knicks,82,50,32,0.61,3966.0,0.482,0.283,0.16,0.277,0.455,0.337,0.155,0.301,1,8,8,8,7,15,23,13,28,5,23,21,5,1999-00,0.33065,0.3315
105,1610612753,Orlando Magic,82,41,41,0.5,3951.0,0.473,0.305,0.178,0.344,0.476,0.304,0.183,0.331,1,17,17,17,22,21,15,26,2,11,15,2,26,1999-00,0.34825,0.34795
106,1610612755,Philadelphia 76ers,82,49,33,0.598,3966.0,0.457,0.329,0.165,0.335,0.466,0.303,0.185,0.32,1,10,10,10,7,27,7,20,4,7,14,1,18,1999-00,0.34040000000000004,0.3421
107,1610612756,Phoenix Suns,82,53,29,0.646,3961.0,0.491,0.286,0.173,0.316,0.454,0.331,0.18,0.324,1,5,5,5,14,7,22,24,17,4,20,3,21,1999-00,0.34575000000000006,0.3410500000000001
108,1610612757,Portland Trail Blazers,82,59,23,0.72,3956.0,0.501,0.316,0.166,0.335,0.461,0.303,0.158,0.307,1,2,2,2,19,2,12,21,3,6,13,19,11,1999-00,0.35630000000000006,0.33075
109,1610612758,Sacramento Kings,82,44,38,0.537,3961.0,0.486,0.277,0.16,0.308,0.479,0.264,0.173,0.321,1,14,14,14,18,12,26,11,19,15,6,7,19,1999-00,0.33755,0.33865000000000006
110,1610612759,San Antonio Spurs,82,53,29,0.646,3971.0,0.488,0.346,0.162,0.301,0.451,0.255,0.155,0.297,1,5,5,5,2,10,4,15,22,2,2,22,4,1999-00,0.34780000000000005,0.3168
111,1610612760,Seattle SuperSonics,82,45,37,0.549,3956.0,0.487,0.282,0.148,0.312,0.483,0.259,0.161,0.327,1,12,12,12,21,11,25,6,18,19,4,16,24,1999-00,0.3365,0.3377
